ID,num_models,question
85,4,How much cheaper is the combo ticket compared to a regular ticket for visiting the entire park featured in this video?
92,4,How many light-years away from Earth are the first and second planets mentioned in the video combined?
108,4,How many different traditional cultural performances does this video clip show?
113,4,How many steps are mentioned in this video clip for the printmaking process?
115,4,How many liuli-making techniques are introduced in the video?
120,4,How many flips in a row did the man in the video do?
125,4,How many white animals are there in total in the video?
151,4,How many methods in total did the woman in the video use to prevent her cat from peeking at her while she was bathing?
161,4,How many kinds of animals are shown in the video?
164,4,How many pairs of earrings are shown in this video clip?
174,4,How much would it cost to order every dish in the rightmost column of the menu at this barbecue restaurant?
201,4,"In the specified video clip, how many times in total did the man sprinkle the powdery substance onto the snack?"
204,4,How many times as many cats as dogs are there in the video clip?
206,4,How many logs did the woman in the video pick up in total?
257,4,At what age did the person mentioned in this video move to Paris?
258,4,How many people appeared in the video?
283,4,How many people appeared in the video clip?
288,4,How many years passed from the construction of the arena in the video to its excavation?
331,4,How many different physical exercises did the man demonstrate? (Dribbling a basketball counts as only one.)
342,4,"During the cooking process, how many times in total were cooking ingredients added to the silver container?"
372,4,What is the result of subtracting the number of times a white solid substance is poured into the large pot from the number of times the chef making the food pours an uncooked white powdery substance into it?
379,4,How many different auxiliary tools did the man wearing a hat use to process the pottery blanks while making pottery?
380,4,What is the cube of the number of times the man selling tofu cuts the tofu?
430,4,"In the video, a woman in a black padded jacket is digging for caterpillar fungus. How many digging motions did she make in total?"
437,4,Which kitchen utensil is used most frequently during cooking?
447,4,"In the video, what is the difference between the number of lychees on the table that the woman ate and the number she peeled and put into the bowl? (Count it as one if you can see the lychee flesh falling into the bowl.)"
470,4,How many kinds of ingredients in total were put into the copper hot pot?
472,4,"In the video, how many times does the man in black chop the chicken feet? (One up-and-down motion of the cleaver counts as one time.)"
493,4,What is the total number of meerkats in the video performing the action with their forelimbs down and hindlimbs up? (A meerkat with only one forelimb down or one hindlimb up should also be counted as one.)
501,4,How many times were the wontons scooped up in total?
556,4,How many species of sea creatures were there in total (excluding shellfish)?
593,4,"When making mooncakes, what is the total number of times if you add the number of attempts using a mold to the number of times you successfully made them?"
595,4,How many times the number of white objects appearing at the very beginning of the video is the number appearing at the very end? (The number of white objects is at least 1 in both cases.)
619,4,"In the video, how many times were crabs put into the black pot?"
620,4,How many more crabs were scrubbed with a pink brush than were cut in half? (Count only the visible processing.)
621,4,"During the process of cooking the crab, how many times in total were cooking ingredients added to the black pot?"
627,4,"In the video, how many vegetables were picked from the ground in total? (including Chinese cabbage and chili peppers)"
690,4,"In the video, how many times in total does the frog kick its legs from a curled to a straight position?"
696,4,What is the total number of times the carving knife appears during the process of making the wooden utensils? (Including frame-by-frame counting)
701,4,"In the video, what fraction of the total number of steamed buns is the number of unsteamed buns?"
702,4,How many ingredients did the woman add to the golden bowl while making the food?
715,4,How many buckets in the video are shown pouring out or being filled with sweet potatoes or sweet potato flour?
744,4,How many times does the polar bear cub in the video slide down? Only slides exceeding half a body length should be counted.
776,4,How many chickens did the man smoking a cigarette catch?
779,4,How many men in green tops appeared during the training? (Repeated appearances are counted.)
789,4,"In the skating competition scene, how many people did the team member in the red top overtake in total?"
800,4,What is the difference in the number of people between the most and least crowded scenes during the assembly of the blue machine?
847,4,How many times did the man in the camouflage top jump with one hand?
891,4,How many times did the video switch to a shot of a person?
901,4,How many different types of gym equipment appear in the gym in the video?
914,4,How many kill events appear in the video?
942,4,How many times does the video show the woman in black putting garlic into the glass jar?
973,4,"According to the video, among the four professionals shown, how many directly show signs of fatigue or are in a state of rest after completing their work?"
981,4,How many times do scenes showing orange letters appear in the video?
1006,4,"According to the video, after the male and female protagonists finish their conversation in the woods, they leave in different directions. How many times in total does the female character look back before the video ends?"
1023,4,How many times in total were scenes inside a vehicle shown in the video?
1030,4,How many shots directly or indirectly show feet from the beginning of the film until the first time the police check the box containing the body?
1032,4,"In the video, figures representing different professions appear in sequence, accompanied by the presentation of the ""新"" (xīn) logo. Among all the professional figures shown, how many times does the ""新"" (xīn) logo appear in total?"
1044,4,What are the main aspects of Changsha showcased in this video clip?
1089,4,"How many times do ""didadid"" and the corresponding action appear in the video?"
1103,4,How many works appear in the video?
1104,4,How many of the movies in the video are about war?
1176,4,What is the approximate difference in kilometers between the lengths of the longest rivers of the two countries introduced in the video?
1194,4,"In the video, how long did it take to get from Xinxiang Station to the Baoquan Tourist Center?"
1203,4,Approximately how old is the brand owned by the company in the video?
1209,4,How many times did the person in the video open the drawer?
1231,4,How many heads are in the video?
1254,4,How many drones are shown in the video? How many of them are twin-rotor drones?
1308,4,How much would it cost to buy one of each product that appears in the video?
1323,4,"According to the video, how many space launches took place in July?"
1331,4,How many times in total were the pull-out baskets or drawers pulled out in the video?
1334,4,"During the second flight in the video, what local time does the period of direct sunlight into the cockpit correspond to?"
1352,4,How many times in total did numbers appear in the center of the video?
1388,4,How many pieces of furniture does the vlogger show the price for in the video?
1409,4,"How many cups were picked up in total in the video? Of those, how many are not transparent?"
1425,4,Approximately what year was this descendant of Lin Zexu in the video born?
1442,4,How many types of animals appear in the video?
1451,4,How many brushwork techniques were shown in total?
1487,4,How many colors of books are there on the bookshelf in the background of the video?
1495,4,"In the video, what is the difference between the number of times items are placed into the washing machine and the number of times items are taken out of it?"
1499,4,How many items of clothing are shown in the video? (excluding hats)
1502,4,"How many places in the video were wiped with the white cloth strip? (In the same scene, different locations are all counted towards the total.)"
1504,4,"In the video, how many times in total was the black lump hammered? (Count repetitions.)"
1525,4,"How many times does the white, ring-shaped building appear in this video?"
1532,4,How many animal species are shown in the video?
7,3,How many birds appear in the video?
14,3,How many people are there in total on the dragon boat in the video?
15,3,How many items did the visitor obtain in the video?
18,3,How many times does the woman in red pout in the video?
29,3,What is the time difference between the earliest and latest street performances in this video clip?
31,3,"Of the two men in the video wearing the lion dance costume, how many times did the man at the tail of the lion lift up the person in front?"
37,3,Which empty bottle shown in the video is the most expensive?
50,3,"In this video clip, how many more black bags are there than bags of other colors?"
57,3,What is the difference between the highest and lowest temperatures that the red flag in this video clip can withstand?
61,3,How many scenes from the drama and movie versions were shown in total at the end of the video?
63,3,How many items in total are vacuum-sealed in the video?
65,3,How many kinds of delicious food appear in this video?
69,3,"Based on the MSRP and discount information shown in the video, calculate the discounted prices for the vehicle in the four regions mentioned."
72,3,How many floors of stairs did the explorers climb in the unfinished building?
86,3,How many more utensils are in the first picture than in the second in this video clip?
90,3,How many Korean comments appeared in the video?
94,3,How many hundreds of millions of years separate the birth times of the first and second organisms mentioned in this video clip?
96,3,What is the approximate percentage of survivors out of the total number of combatants in the war presented in this video?
118,3,What is the difference in the number of volumes between the two parts of the books mentioned in the video?
119,3,"How many years passed from the establishment of the first hereditary dynasty mentioned in the video to the founding of the first centralized, unified dynasty?"
137,3,How many types of animals (in broad categories) appear in this video?
138,3,What are the approximate calories (in Kcal) of the syrup made in this video clip?
142,3,How many kinds of food did the man in the video order?
163,3,How many character experiences are shown in the video?
165,3,What is the approximate total calorie count of the cake made from the recipe shown in the video?
179,3,How many times was the action shown in the video performed?
183,3,How many times is the thread wrapped around the needle in the picture?
189,3,How many scenes are shown in the video?
190,3,How many times did the performer in the video successfully jump rope?
197,3,How many types of cat food are shown in the video?
223,3,How many scenes were in the video?
227,3,How many kinds of skewers did the person in the video take in total? Which kind was taken the most?
231,3,How many women wearing white dresses appeared in the video?
233,3,How many kinds of fruit did the man in the video put on his plate?
246,3,"As the woman in the video is picking up the cakes, which number is the ""lava chocolate cake""?"
250,3,How many lions are there in the video?
264,3,How many models have clothing that touches the ground in the specified video segment?
267,3,How many unique individuals appeared in the video?
270,3,How many outfits does the woman in the video have to go with the black bag?
291,3,What is the difference between the number of boats with red flags and those without in the video footage?
294,3,How many men appear in the video in total?
299,3,How many people are wearing orange clothes in the video clip?
302,3,How many mice are in the experiment in the video clip?
304,3,"In the video, a woman in a black suit and a man in a yellow vest each spoke several times. What is the difference in the number of times they spoke?"
312,3,How many different colors of No. 7 jerseys appear in the video?
327,3,How many goals were scored in total in the World Cup clip? (Goals shown in replays should also be counted.)
333,3,How many times did chicken feet appear in the video?
350,3,"When making the sauce for the duck, how many more liquid seasonings are used than non-liquid seasonings?"
353,3,How many times does the man in the white top appear throughout the video? (Each camera cut counts as one appearance; back views are not included.)
357,3,"In the process of preparing the ingredients, which of the following ingredients is cut the most times?"
364,3,How many times were the hawthorn berries put into the pot? And how many times were they taken out of the pot?
367,3,What is the difference in the number of shots between the team in white jerseys and the team in red jerseys?
378,3,"During the pottery-making process, the maker used a wooden tool for shaping and decoration. In total, how many types of operations were performed?"
403,3,What is the total number of times the lady pours water and seasoning into the metal basin containing seafood?
404,3,How many different scenes does each person in the video appear in? (Recurring scenes are counted only once.)
411,3,"In the video, how many times does the scene of the man in the white top grabbing and mixing the bullfrogs in the container appear?"
414,3,In how many scenes does the female character with text on her face appear? (Repeated appearances are counted.)
419,3,What is the difference between the maximum number of meat slices on the stone slab at any one time and the number of meat slices ultimately eaten by the woman in the ethnic costume?
420,3,How many jars of food with golden lids appear in the video? (Items that reappear in the same scene are counted only once.)
421,3,"According to the video, how many types of food with strawberries were shown in total?"
423,3,How many times did the woman in the colorful patterned top add white powder from the green container to the basin of white powder? And how many eggs did she add?
445,3,In how many different scenes in the video did the oysters in the bamboo basket appear?
449,3,How many kinds of non-liquid ingredients were added to the black clay pot in total?
458,3,How many colors of fabric and thread in total are used by a man in a light khaki cowboy hat while he is making handicrafts?
459,3,How many kinds of ornaments did the person wearing a watch add to the sewn fabric while making the handicraft? (Thread and string are not included).
461,3,"What is the total number of times cooking ingredients were added to the pot, from when the pressure cooker starts to vent steam until just before the black cauldron is stirred? (The same type of item is counted only once.)"
469,3,"According to the video, how many people are at the dining table?"
494,3,"In the video, how many times in total did the dwarf mongooses jump? (A jump is counted for any dwarf mongoose as long as both its front and hind limbs are off the ground. Cases where the front and hind limbs are not observed simultaneously do not count.)"
497,3,How many times does a shot of a hand holding two ham sausages appear in the video?
498,3,How many steps did the woman in the video take in the process of making the handicraft?
509,3,How many times did the basket with the watermelon appear during the picnic?
530,3,"In the multiple scenes of monkeys foraging by the sea, how many more scenes are there of monkeys eating crabs than of them not eating crabs? (Each change in camera shot is counted.)"
533,3,How many times in the picture does the spider wrap an item with its silk?
547,3,"On the football field, what is the difference between the number of times the person in the red top fell and the number of times the person in the fluorescent yellow top fell? (Falls shown in the replay footage are also included in the count.)"
563,3,"What is the number of people riding bicycles, plus the number of people walking, minus the number of people standing on the side of the street?"
566,3,What is the difference between the number of birds caught and eaten (replays not counted) and the number of birds that escaped after being bitten?
571,3,How many different Tibetan activities are shown in the video? (Repeated occurrences are counted as one.)
575,3,How many feeding actions did the woman actually complete while feeding the cow(s)?
594,3,"In the video, what is the total number of semi-finished mooncakes on the table?"
602,3,How many kinds of seasonings and side dishes in total are added in this beef cooking video?
603,3,"In the video, how many things in total did the woman in pink add to the bowl?"
606,3,"Excluding close-up shots of other fish, how many times in total does the school of fish appear in the video?"
607,3,"In the video, did the middle-aged man in a white shirt, holding a cyan bottle, pour liquid into some cups?"
631,3,"How many times in total did the hamster stand on its hind legs in the video? (Camera cuts are counted, but jumps are not.)"
650,3,How many times is the iron used in the video during the hat-making process? (Each time the iron touches and is lifted from the fabric counts as one use.)
660,3,How many scenes in this video use knives? (A shot change counts as one scene.)
673,3,What is the difference between the number of types of non-liquid ingredients placed in the silver basin and the number of types placed in the black pot?
684,3,How many kinds of items did the woman in the striped clothes take with her right hand?
685,3,"In the video, how many times in total did the pika carry food? (Count repeated instances.)"
705,3,How many times did the red water ladle appear during the food preparation?
710,3,"Watch the video. In total, how many times do the two birds tuck their beaks into their wing feathers?"
750,3,"Among the groups of penguins gathered on the snow, how many times did the number of penguins reach or exceed 15?"
757,3,"In the video, what is the difference between the number of times the man in the black jacket appears alone and the number of times he appears together with the woman in the black top?"
773,3,How many times in total did the person in front of the goal practice making saves?
823,3,In how many different locations did the little grey cat appear in total?
825,3,How many times in total did the lady pour the crushed chili into the silver bowl?
838,3,How many total digging motions did the person holding the shovel perform in the video?
850,3,"In the video, how many different types of items is the woman performing on the unicycle balancing on her head?"
852,3,How many times as often was the red silk ribbon grabbed by the male performers as by the female performers?
859,3,"In total, how many different locations does the lady who appears at the beginning of the video appear in?"
875,3,How many goals in total did the team in white jerseys score during the entire soccer match?
897,3,What is the total number of times the person in the blue top chops and cuts the mutton in the video?
907,3,How many times does a serving motion appear in the video?
910,3,How many times in total did the male player in the yellow shirt hit the ball?
912,3,How many red side heroes in total did the hero using dual pistols kill in the video?
934,3,"In the video, how many times is the transparent container with yellow liquid picked up?"
954,3,How many police officers with epaulettes can be seen in the video?
962,3,"In the video, a woman wearing a qipao appears in indoor, snowy, and courtyard exterior wall scenes. If you count the number of other women present in each scene alongside her, which of the following options matches the statistical results?"
965,3,"How many different outfits in total did the woman with short, curly hair wear in the video?"
971,3,How many of the necklaces worn by the ladies in the video are yellow?
972,3,How many times in total did the woman in the wedding dress wear earrings in the video?
977,3,"In the video, between the male character pinning on his badge and the two of them appearing in the office, how many split screens contrasting the new and old appear in total?"
979,3,How many times in the video is there a shot of a runner falling and getting back up?
980,3,How many times in total was the car interior shown in the video?
983,3,How many times in total did the courtyard appear in the video?
984,3,How many veterans in the video explicitly stated in their interviews that they are unwilling to recall the past?
987,3,"In the video, multiple vintage players are playing footage of singers performing. How many singers in total appear on the players?"
989,3,"Based on the youth representatives and their work settings shown in the video, which scene features them the most times?"
993,3,"In the video, from when the character starts fanning themselves in the courtyard to the final overhead shot of the building, how many times are eaves or roofs shown?"
1008,3,"In the video, from the first time the worker appears in the underpass to their final appearance on top of the building, how many times is the worker seen wearing a safety helmet?"
1014,3,"According to the video, how many real-world work scenarios are shown after putting on the VR headset?"
1020,3,"According to the video, how many times does the character hold a red flower in the segments that take place in the garden?"
1031,3,"In the video, how many times does a shot appear where a person and a white horse are together, and the person is in at least partial physical contact with the horse (such as stroking, leading, etc.)?"
1035,3,"Based on the sports and scenes presented in the video, from a first-person perspective, how many times did an activity involving contact with water occur?"
1045,3,How many outfits did the male and female leads change into in the video?
1047,3,"Disregarding repeated appearances, how many children are in the video?"
1052,3,How many luggage racks in total did the first person to appear in the video open?
1055,3,"How many large, closed sun umbrellas are in the video?"
1061,3,"Of the two types of planets introduced in the video, which are the largest planets by volume in each category, respectively? By what factor do their volumes differ?"
1075,3,How many photos are shown in the video?
1087,3,The video shows that the land area of Zhejiang Province accounts for approximately what percentage of China's total land area?
1095,3,How many countries and regions are mentioned in the video?
1109,3,How many bands or groups are mentioned in the video?
1113,3,How many smart devices appear in the video clip?
1122,3,How many behavioral meanings does the video explain?
1127,3,How many types of animals (broad categories) appeared in the video in total?
1131,3,How many women in white wedding dresses are in the video?
1138,3,How many lion dancers appear in total in the video clip?
1144,3,How many shots of wailing or crying are there in total in the video?
1149,3,How old is the woman in the video?
1150,3,How much did the food in this video clip cost in total?
1164,3,How many women appear in the background image of the video?
1166,3,How many types of human organ transplants appeared in the video?
1174,3,How many obtuse triangles does the finished product made in the video contain in total?
1175,3,How many banners are hanging from the ceiling in total?
1189,3,How many types of intangible cultural heritage are shown in the video?
1191,3,How many small flower buns are there in total on the outermost ring of the decorative steamed bun being made in the video?
1196,3,"If you bought this piece of menswear from the video and recommended it to your bestie, how would you answer if she asked what the discount was compared to the retail store price?"
1204,3,How many steps are there in the method demonstrated by the person in the video? (Count opening and removing as one step.)
1208,3,How many training poses did the man in the video recommend in total?
1229,3,How many times do the pyramids appear in the video?
1235,3,"How many books with the words ""illustrated catalog"" on them did the person in the video take out in total?"
1243,3,How many types of laparoscopic surgery are mentioned in the video?
1251,3,How many circles are there next to the pink flower in the video?
1259,3,How many shots were fired in total during the three-person standoff in the video?
1276,3,How many bottle caps were stuck on the disc in the video?
1280,3,Is the airport construction tax in Ireland shown in the video higher or lower than the 50 yuan for domestic flights?
1289,3,How old was Jiang Xiaoqing in the video when he went to study at the Chuanshan Academy in Hengyang? How many years was the gap between then and when he became a xiucai?
1299,3,Approximately how much would it cost in RMB to purchase the headphones in the video? (Exchange rate: 1 USD ≈ 7.1859 RMB)
1301,3,How many successful shots are shown in the video footage?
1329,3,How many different folk cultures from different places appeared in the video?
1332,3,How many steps does the person in the video perform on the shoes?
1337,3,How many types of food are shown in the video?
1342,3,What was the province's share of the projects built with Soviet aid?
1357,3,How many times in total did all the people in the video stand up?
1359,3,How many times is the first set of movements in the video supposed to be done?
1365,3,How many more people were there at the end of the video than at the beginning?
1382,3,How many must-visit attractions are there in the video?
1383,3,How many things are there in total on the dining table in the video?
1401,3,"After the historical turning point mentioned in the video, how was the average land area required for each person's life improved?"
1404,3,How many people are in the video?
1414,3,How many apps in total are on the phone introduced in the video?
1420,3,How many suggestions did the woman in the video make in total?
1421,3,Did the video show the prices of multiple hotels? How many are less than 100?
1428,3,How many manual operations occurred in the video?
1429,3,"Based on the content of the video, in what year did the war end?"
1449,3,How many kinds of agricultural products from Jianli are introduced in the video?
1452,3,How many gift boxes and shipping boxes were unboxed in total in the video?
1454,3,How far can the hoverbike featured in the video fly on a single charge?
1458,3,How many people are holding umbrellas in the video?
1466,3,How many international air routes are mentioned in the video?
1468,3,"In the video, there are small house models of various colors on the table. What is the probability of randomly picking a blue house model?"
1471,3,How many billiard balls were pocketed in the video?
1473,3,How many book titles did the author introduce in the video?
1493,3,How many outfits are shown in the video?
1498,3,"How many times did the hands perform the ""unscrewing"" action in the video?"
1521,3,"The number of times the woman wearing a wedding dress at the beginning of the video wears a wedding veil throughout the entire video, divided by the number of men wearing suits, is closest to which of the following values?"
3,2,"How many film and TV adaptations of Journey to the West are introduced in the video in total, and which of them is a co-production between two countries?"
13,2,How many pieces of clothing did the lady in the video touch in total?
19,2,How many years are there between the first and last events in the video?
34,2,How many empty bottles were shown in the video in total?
35,2,How many vassal kings were enfeoffed in total in the video?
38,2,How many mythical creatures from the *Classic of Mountains and Seas* were introduced in the video?
40,2,How many life hacks are recommended in this video clip?
46,2,How many more girls than boys are playing the guitar in the video?
48,2,How many times did the person in the video throw away the trash?
49,2,What is the difference between the number of adults and children in this video clip?
51,2,How many pest control methods are introduced in the video?
68,2,How many character posters appear in the video?
71,2,How many round windows can be seen in the video? (Excluding duplicates)
74,2,How many years apart were the two hard drives mentioned in this video clip invented?
77,2,How many Hellobikes appear in the video?
79,2,How many types of Chinese terrain are introduced in this video clip?
81,2,How many lion heads passed by in the video?
87,2,How many years passed between the discovery of the archaeological site mentioned in the video clip and its formal excavation?
89,2,What is the difference in days between the first and third of the three calendars presented in the video text?
95,2,"In the video, how many more earthquakes did the dynasty with the most earthquakes have than the dynasty with the second most?"
98,2,How many real historical figures who passed the imperial examination are mentioned in the video?
99,2,How many people in the video are wearing masks?
102,2,How many production steps does the intangible cultural heritage in the video have?
107,2,Approximately how many black and white movies did the author count in the video?
111,2,The building in the video has two different types of rooms. What is the difference in the number of these two types of rooms?
112,2,How many books are shown in the video clip?
116,2,What was the difference in age at death between the emperor mentioned in the video and his own mother?
117,2,How many vehicles in total passed by in the motor vehicle lane to the left of the person filming in the video?
127,2,How many backflips did the man in the video do?
131,2,How many cows are in the video?
139,2,How many different instruments did the performers in this video play in total?
144,2,How many characters were copied in the video?
146,2,How many times did the woman stir in the specified video clip?
154,2,What is the approximate area in square centimeters of the cabinet the blogger made in the video?
158,2,How many exercises did the blogger recommend in the video?
162,2,What is the difference in sun cost between the most expensive and least expensive plants selected in the video segment?
167,2,How many shot transitions are there in the video?
169,2,How many times in total did the woman in the video lift the dumbbell with one hand?
178,2,How many cats appeared in the video clip?
181,2,What is the difference in meters between the fan diameters of the two airplanes in this video clip?
184,2,How many devices did the man in the video introduce?
186,2,How many paintings were shown in close-up in the video clip?
194,2,"What rank is Taiwan, China, in the video?"
196,2,How many animals appeared in the handmade craft in the video?
200,2,How many road signs appeared in the video?
202,2,What was the appearance order of the man with tattoos in the specified video?
203,2,How many necklaces were introduced in the video?
208,2,How many dishes appeared in the video in total?
216,2,How many times did the woman in the video perform the action?
218,2,How many shots appeared in the video clip?
220,2,How many girls appeared in the shot (not counting repeat appearances)?
221,2,How many items is the man showing in his hands in the video?
226,2,How many colorways of this shoe are shown in the video?
229,2,How many seconds in total does it take to complete the five sets of steps five and six of adult first aid in the video?
235,2,How many dishes on the menu in the video are marked with a crown symbol?
236,2,How many hours are there between the departure time and the time of the last event on the itinerary shown in this video clip?
238,2,How much did the woman in the video spend on food in total?
242,2,How many Samoyeds are in the video?
247,2,How many times in total were the drawers pulled to show the tableware in the video?
248,2,How many arms does the sixth starfish in the video have?
251,2,How many times did the cat's tail twitch in the video?
256,2,What is the probability of randomly getting the Dragon zodiac cup in the video?
262,2,How many poses did the woman in the video change into?
266,2,How many male attendants are in the video?
268,2,How many kinds of animals appeared in the video?
271,2,How many yellow chairs are in the video?
277,2,What is the total percentage of people who are mentally sub-healthy and completely mentally healthy in this video clip?
278,2,What is the total number of people appearing in the three scenes of the video clip?
280,2,What is the date of birth on the old lady's ID card in the video?
297,2,How many children learning acrobatics are mainly featured in the video? How many of them are girls?
298,2,How many more shots with a white background are there than shots with a black background in the video clip?
305,2,"In the video, how many times in total did the man in black and the man in grey exchange the playing cards?"
313,2,"How many times does the word ""Persistence"" on the wall appear in the video? What actions does the man in the video perform each time it appears?"
314,2,How many goals in total did the team in red jerseys score in the video?
317,2,How many more goals did the team in red score than the team in white?
318,2,"In the video, how many players in white jerseys did the man in the black short-sleeved shirt interfere with during their practice?"
320,2,What is the man's shooting percentage in the video?
329,2,"On the basketball court, who made more baskets: the man wearing the number 9 jersey or the man wearing the black hoodie?"
330,2,"In the video, how many times does the man move forward while bouncing the ball with both hands?"
338,2,How many steps are involved in the man in the black shirt's preparation of the pork liver?
339,2,"In the video, at which step is the chili oil poured?"
343,2,How many times in total were seasonings added throughout the cooking process?
348,2,A man in an apron took a fish from a basin and prepared it. How many steps did this process involve?
361,2,How many different locations did the man in the blue jacket pass through in total?
369,2,How many times did the man in the black jacket appear in the video?
375,2,"In the process of cooking duck, out of these ten seasonings—ginger, cooking wine, Sichuan peppercorns, dried chilies, rock sugar, light soy sauce, salt, dark soy sauce, beer, and water—how many are used twice?"
381,2,"During the cooking process, excluding water, how many ingredients and seasonings in total were added to the pot?"
382,2,"During the making of Tibetan incense, what is the square of the number of times that the action of a stone pestle grinding medicinal herbs and a shot of the herbs are seen simultaneously?"
383,2,How many non-meat ingredients and seasonings did the man in grey clothes add to the black iron pot?
388,2,How many different seasonings did the man use in total to marinate the meat slices? (Anything added after the meat slices is also considered a seasoning.)
389,2,"During the process of making the seasoning, how many types of seasonings in total were ground in the stone mortar?"
390,2,How many ingredients were used in total to marinate the chicken?
394,2,What is the sum of the number of times the old man in red scooped soil out of the box and the number of times he scooped soil out of the bucket?
406,2,"In the video, of the two people eating chicken feet, how many times did the man bite the chicken feet?"
409,2,"In the video, how many times in total did the woman in the white top put green plants into the red basket?"
410,2,"How many times did the woman in the black jacket and the woman in the white jacket appear in the video, respectively?"
412,2,How many things in total did the man in the light yellow jacket add to the pot during the cooking process?
417,2,How many different football matches are shown in this video?
422,2,"In the video, how many different types of fruit did the woman in the white top pick?"
429,2,How many times in total were ingredients and seasonings added to the pot during the cooking process?
433,2,How many times does a clearly visible utility pole with red and white stripes appear in the video? (Do not count blurry ones in the background.)
435,2,What percentage of the total shots were taken by the player in the blue #11 jersey? (Including replays)
436,2,"In the video, how many times does the woman in the pink top scoop food out of the black pot with a silver slotted spoon?"
439,2,How many times in total did the man in the red jacket jog in the video?
443,2,How many times in total is a kitchen knife used to chop downwards in the video?
452,2,How many times did the scene of the woman in a white top riding a white motorcycle appear?
454,2,How many circles did the woman in the purple hoodie stir in the vat with a dark brown stick?
456,2,"In total, in how many different outdoor locations does a car with a yellow body appear? (Each camera shot change counts as one appearance)."
463,2,"In the video, how many times does the man in the white top and black backpack look back?"
464,2,How many times were powdered and liquid seasonings used in the video during the cooking process?
471,2,How many times in total did the chicken feet appear in the white transparent liquid in the video? (Count reappearances after scene changes.)
473,2,How many types of ingredients did the woman in the light blue top and dark blue vest touch in the video? (Count duplicates as one).
478,2,"In the video, how many times does the man point forward with his left hand and his right hand, respectively?"
